"sample002_knn_10"	"sample002_knn_11"	"sample002_knn_12"	"sample002_knn_13"	"sample002_knn_14"	"sample002_knn_15"
"ABCB6"	0.783699059561129	0.813479623824451	0.834639498432602	0.859717868338558	0.88871473354232	0.905956112852665
"ABCB7"	0.981974921630094	0.985109717868339	0.986677115987461	0.99294670846395	0.996081504702194	1
"ABCB8"	0.870689655172414	0.883228840125392	0.903605015673981	0.917711598746082	0.934952978056426	0.95141065830721
"ABCB9"	0.442789968652038	0.466300940438871	0.496081504702194	0.514890282131661	0.537617554858934	0.552507836990596
"ABCC1"	0.973354231974922	0.981191222570533	0.985109717868339	0.993730407523511	1	1
"ABCC10"	0.64576802507837	0.677899686520376	0.710815047021944	0.743730407523511	0.766457680250784	0.790752351097179
"ABCC11"	0.0376175548589342	0.0423197492163009	0.0431034482758621	0.0470219435736677	0.0525078369905956	0.0579937304075235
"ABCC2"	0.113636363636364	0.126175548589342	0.133228840125392	0.142633228840125	0.15282131661442	0.160658307210031
"ABCC3"	0.0329153605015674	0.0399686520376176	0.0493730407523511	0.054858934169279	0.0619122257053292	0.0650470219435737
"ABCC4"	0.993730407523511	0.993730407523511	0.993730407523511	0.993730407523511	0.993730407523511	0.993730407523511
"ABCC5"	0.97884012539185	0.989028213166144	0.989028213166144	0.993730407523511	0.993730407523511	0.994514106583072
"ABCC5.AS1"	0.0360501567398119	0.036833855799373	0.0376175548589342	0.0391849529780564	0.0407523510971787	0.0423197492163009
"ABCC6"	0.192789968652038	0.205329153605016	0.219435736677116	0.231974921630094	0.251567398119122	0.27115987460815
"ABCD1"	0.157523510971787	0.16692789968652	0.184169278996865	0.205329153605016	0.21551724137931	0.229623824451411
"ABCD3"	0.967084639498433	0.972570532915361	0.974921630094044	0.981191222570533	0.981191222570533	0.984326018808777
"ABCD4"	0.622257053291536	0.655956112852665	0.681034482758621	0.704545454545455	0.724137931034483	0.743730407523511
"ABCE1"	0.987460815047022	0.99294670846395	0.99294670846395	0.99294670846395	0.99294670846395	0.994514106583072
"ABCF1"	0.991379310344828	0.993730407523511	0.995297805642633	0.996081504702194	0.996081504702194	1
"ABCF2"	0.9858934169279	0.988244514106583	0.989028213166144	0.992163009404389	0.993730407523511	0.994514106583072
"ABCF3"	0.650470219435737	0.678683385579937	0.702978056426332	0.729623824451411	0.746081504702194	0.767241379310345
"ABCG5"	0.0266457680250784	0.0274294670846395	0.030564263322884	0.0352664576802508	0.0360501567398119	0.0384012539184953
"ABHD10"	0.801724137931034	0.826802507836991	0.850313479623824	0.869905956112853	0.885579937304075	0.898902821316614
"ABHD11"	0.477272727272727	0.49294670846395	0.515673981191223	0.532131661442006	0.55564263322884	0.579153605015674
"ABHD12"	0.948275862068966	0.96551724137931	0.971003134796238	0.976489028213166	0.977272727272727	0.978056426332288
"ABHD13"	0.693573667711599	0.733542319749216	0.786833855799373	0.820532915360502	0.84717868338558	0.865203761755486
"ABHD14A"	0.844827586206897	0.859717868338558	0.866771159874608	0.876175548589342	0.880094043887147	0.887931034482759
"ABHD14B"	0.945924764890282	0.962382445141066	0.970219435736677	0.971786833855799	0.973354231974922	0.973354231974922
"ABHD15"	0.174764890282132	0.190438871473354	0.203761755485893	0.214733542319749	0.226489028213166	0.244514106583072
"ABHD15.AS1"	0.190438871473354	0.209247648902821	0.221786833855799	0.232758620689655	0.248432601880878	0.260971786833856
"ABHD16A"	0.859717868338558	0.880094043887147	0.901253918495298	0.913793103448276	0.925548589341693	0.935736677115988
"ABHD17A"	0.973354231974922	0.974921630094044	0.979623824451411	0.979623824451411	0.979623824451411	0.987460815047022
"ABHD17B"	0.858934169278997	0.882445141065831	0.911442006269592	0.92398119122257	0.945924764890282	0.959247648902821
"ABHD17C"	0.0195924764890282	0.0227272727272727	0.024294670846395	0.0266457680250784	0.0313479623824451	0.0360501567398119
"ABHD18"	0.969435736677116	0.976489028213166	0.980407523510972	0.996865203761755	0.998432601880878	1
"ABHD2"	0.949059561128527	0.963166144200627	0.978056426332288	0.986677115987461	0.988244514106583	0.990595611285266
"ABHD3"	0.992163009404389	0.993730407523511	0.993730407523511	0.993730407523511	1	1
"ABHD4"	0.166144200626959	0.174764890282132	0.188871473354232	0.204545454545455	0.213949843260188	0.220219435736677
"ABHD5"	0.960815047021944	0.964733542319749	0.974137931034483	0.984326018808777	0.985109717868339	0.992163009404389
"ABHD6"	0.719435736677116	0.750783699059561	0.772727272727273	0.797021943573668	0.817398119122257	0.836206896551724
"ABHD8"	0.535266457680251	0.565830721003135	0.608150470219436	0.642633228840125	0.681034482758621	0.717868338557994
"ABI1"	0.947492163009404	0.952194357366771	0.960031347962382	0.964733542319749	0.973354231974922	0.983542319749216
"ABI2"	0.975705329153605	0.977272727272727	0.985109717868339	0.9858934169279	0.988244514106583	0.991379310344828
"ABITRAM"	0.572884012539185	0.599529780564263	0.630877742946709	0.65987460815047	0.684952978056426	0.713949843260188
"ABL1"	1	1	1	1	1	1
"ABL2"	0.999216300940439	1	1	1	1	1
"ABLIM1"	0.0352664576802508	0.0376175548589342	0.0384012539184953	0.0399686520376176	0.0407523510971787	0.0438871473354232
"ABO"	0.979623824451411	0.981191222570533	0.981974921630094	0.981974921630094	0.983542319749216	0.986677115987461
"ABR"	0.97884012539185	0.987460815047022	0.990595611285266	0.996865203761755	0.996865203761755	0.996865203761755
"ABRACL"	0.952978056426332	0.952978056426332	0.954545454545455	0.955329153605016	0.957680250783699	0.95846394984326
"ABRAXAS1"	0.851880877742947	0.873040752351097	0.88871473354232	0.898902821316614	0.912225705329154	0.922413793103448
"ABRAXAS2"	0.886363636363636	0.908307210031348	0.925548589341693	0.935736677115988	0.948275862068966	0.956896551724138
"ABT1"	0.942006269592476	0.953761755485893	0.960815047021944	0.963949843260188	0.96551724137931	0.970219435736677
"ABTB1"	0.0807210031347962	0.0846394984326019	0.0869905956112853	0.0901253918495298	0.0932601880877743	0.0948275862068965
"ABTB2"	0.115203761755486	0.126175548589342	0.133228840125392	0.142633228840125	0.151253918495298	0.15987460815047
"AC000065.1"	0.0203761755485893	0.0250783699059561	0.0313479623824451	0.0321316614420063	0.0344827586206897	0.0399686520376176
"AC000068.1"	0.0869905956112853	0.0971786833855799	0.11128526645768	0.121473354231975	0.130094043887147	0.137931034482759
"AC000068.3"	0.0572100313479624	0.0626959247648903	0.0658307210031348	0.0713166144200627	0.0744514106583072	0.0775862068965517
"AC000085.1"	0.108150470219436	0.115987460815047	0.137931034482759	0.151253918495298	0.164576802507837	0.169278996865204
"AC002070.1"	0.158307210031348	0.174764890282132	0.192006269592476	0.210815047021944	0.226489028213166	0.239811912225705
"AC002116.2"	0.779780564263323	0.81269592476489	0.83307210031348	0.85423197492163	0.875391849529781	0.889498432601881
"AC002310.1"	0.163009404388715	0.181818181818182	0.19435736677116	0.207680250783699	0.2358934169279	0.255485893416928
"AC002310.2"	0.0963949843260188	0.105799373040752	0.11128526645768	0.11833855799373	0.126175548589342	0.137147335423197
"AC002454.1"	0.394984326018809	0.424764890282132	0.449843260188088	0.47884012539185	0.510971786833856	0.533699059561129
"AC002463.1"	0.398902821316614	0.438871473354232	0.460815047021944	0.481191222570533	0.510188087774295	0.532131661442006
"AC002467.1"	0.481191222570533	0.522727272727273	0.554858934169279	0.591692789968652	0.623040752351097	0.641849529780564
"AC002470.1"	0.217084639498433	0.235109717868339	0.256269592476489	0.267241379310345	0.285266457680251	0.306426332288401
"AC002472.1"	0.0423197492163009	0.0446708463949843	0.0446708463949843	0.04858934169279	0.0525078369905956	0.0619122257053292
"AC002480.1"	0.0235109717868339	0.0274294670846395	0.030564263322884	0.0329153605015674	0.0336990595611285	0.0360501567398119
"AC002550.1"	0.079153605015674	0.085423197492163	0.0924764890282132	0.0995297805642633	0.107366771159875	0.119122257053292
"AC002553.1"	0.0321316614420063	0.0384012539184953	0.0407523510971787	0.0431034482758621	0.0454545454545455	0.0478056426332288
"AC002553.2"	0.0164576802507837	0.018025078369906	0.0227272727272727	0.0250783699059561	0.0258620689655172	0.0282131661442006
"AC002558.3"	0.531347962382445	0.568965517241379	0.593260188087774	0.615987460815047	0.639498432601881	0.663009404388715
"AC003005.2"	0.0391849529780564	0.0415360501567398	0.0470219435736677	0.0532915360501567	0.0572100313479624	0.061128526645768
"AC003086.1"	0.0258620689655172	0.0297805642633229	0.0297805642633229	0.0344827586206897	0.0399686520376176	0.0423197492163009
"AC003093.1"	0.707680250783699	0.74294670846395	0.764890282131661	0.780564263322884	0.801724137931034	0.818181818181818
"AC003102.1"	0.110501567398119	0.119122257053292	0.129310344827586	0.141065830721003	0.151253918495298	0.160658307210031
"AC003681.1"	0.11833855799373	0.134796238244514	0.148902821316614	0.154388714733542	0.166144200626959	0.177115987460815
"AC003682.1"	0.0517241379310345	0.0532915360501567	0.0540752351097179	0.0572100313479624	0.0595611285266458	0.0603448275862069
